




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1849)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of synapse organization (GO:0050807)	210	50	18.85	+	2.65	1.74E-08	9.56E-07
regulation of neurotransmitter levels (GO:0001505)	218	51	19.57	+	2.61	1.74E-08	9.56E-07
response to retinoic acid (GO:0032526)	111	34	9.97	+	3.41	1.84E-08	1.01E-06
positive regulation of transport (GO:0051050)	947	143	85.02	+	1.68	1.87E-08	1.02E-06
feeding behavior (GO:0007631)	83	29	7.45	+	3.89	1.93E-08	1.05E-06
positive regulation of cell development (GO:0010720)	300	63	26.93	+	2.34	2.02E-08	1.09E-06
retina development in camera-type eye (GO:0060041)	148	40	13.29	+	3.01	2.04E-08	1.10E-06
developmental process involved in reproduction (GO:0003006)	974	146	87.44	+	1.67	2.04E-08	1.10E-06
plasma membrane bounded cell projection organization (GO:0120036)	1175	169	105.49	+	1.60	2.06E-08	1.10E-06
regulation of macromolecule biosynthetic process (GO:0010556)	3999	462	359.03	+	1.29	2.07E-08	1.11E-06
ribonucleoprotein complex biogenesis (GO:0022613)	462	10	41.48	-	.24	2.31E-08	1.23E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	213	141.67	+	1.50	2.46E-08	1.30E-06
regulation of phosphate metabolic process (GO:0019220)	1578	213	141.67	+	1.50	2.46E-08	1.31E-06
ncRNA metabolic process (GO:0034660)	521	13	46.77	-	.28	2.48E-08	1.31E-06
cardiac chamber development (GO:0003205)	162	42	14.54	+	2.89	2.49E-08	1.31E-06
regulation of tube size (GO:0035150)	131	37	11.76	+	3.15	2.63E-08	1.37E-06
metanephros development (GO:0001656)	79	28	7.09	+	3.95	2.63E-08	1.38E-06
response to growth factor (GO:0070848)	526	92	47.22	+	1.95	2.74E-08	1.42E-06
cell differentiation in spinal cord (GO:0021515)	49	22	4.40	+	5.00	2.97E-08	1.54E-06
Unclassified (UNCLASSIFIED)	2744	166	246.35	-	.67	3.00E-08	1.55E-06
biological_process (GO:0008150)	17851	1683	1602.65	+	1.05	3.00E-08	1.55E-06
regulation of developmental growth (GO:0048638)	320	65	28.73	+	2.26	3.09E-08	1.58E-06
cell surface receptor signaling pathway (GO:0007166)	2495	309	224.00	+	1.38	3.39E-08	1.73E-06
cellular macromolecule metabolic process (GO:0044260)	4909	338	440.73	-	.77	3.48E-08	1.78E-06
cell projection organization (GO:0030030)	1221	173	109.62	+	1.58	3.58E-08	1.82E-06
adaptive immune response (GO:0002250)	658	21	59.07	-	.36	3.63E-08	1.84E-06
limbic system development (GO:0021761)	109	33	9.79	+	3.37	3.74E-08	1.89E-06
morphogenesis of a branching structure (GO:0001763)	169	43	15.17	+	2.83	3.81E-08	1.92E-06
regulation of gene expression (GO:0010468)	4922	550	441.89	+	1.24	3.96E-08	1.99E-06
regulation of nervous system process (GO:0031644)	146	39	13.11	+	2.98	3.98E-08	1.99E-06
vascular process in circulatory system (GO:0003018)	251	55	22.53	+	2.44	4.19E-08	2.09E-06
cellular response to organic substance (GO:0071310)	2344	293	210.44	+	1.39	4.21E-08	2.09E-06
cartilage development (GO:0051216)	153	40	13.74	+	2.91	4.39E-08	2.18E-06
angiogenesis (GO:0001525)	318	64	28.55	+	2.24	4.87E-08	2.40E-06
mitochondrion organization (GO:0007005)	468	11	42.02	-	.26	5.08E-08	2.50E-06
mesenchyme morphogenesis (GO:0072132)	51	22	4.58	+	4.80	5.21E-08	2.56E-06
sensory perception of chemical stimulus (GO:0007606)	543	15	48.75	-	.31	5.38E-08	2.63E-06
neurotransmitter transport (GO:0006836)	142	38	12.75	+	2.98	5.68E-08	2.77E-06
mRNA processing (GO:0006397)	486	12	43.63	-	.28	5.72E-08	2.78E-06
regulation of tube diameter (GO:0035296)	130	36	11.67	+	3.08	6.14E-08	2.97E-06
blood vessel diameter maintenance (GO:0097746)	130	36	11.67	+	3.08	6.14E-08	2.98E-06
cell migration (GO:0016477)	968	143	86.91	+	1.65	6.54E-08	3.15E-06
transmembrane transport (GO:0055085)	1276	178	114.56	+	1.55	6.58E-08	3.16E-06
forebrain generation of neurons (GO:0021872)	62	24	5.57	+	4.31	6.78E-08	3.25E-06
segmentation (GO:0035282)	95	30	8.53	+	3.52	7.14E-08	3.40E-06
positive regulation of neuron differentiation (GO:0045666)	95	30	8.53	+	3.52	7.14E-08	3.41E-06
response to lipid (GO:0033993)	831	127	74.61	+	1.70	7.37E-08	3.50E-06
camera-type eye morphogenesis (GO:0048593)	125	35	11.22	+	3.12	7.42E-08	3.51E-06
morphogenesis of a branching epithelium (GO:0061138)	160	41	14.36	+	2.85	7.67E-08	3.62E-06
cellular protein metabolic process (GO:0044267)	3590	234	322.31	-	.73	7.86E-08	3.70E-06
muscle organ morphogenesis (GO:0048644)	74	26	6.64	+	3.91	9.44E-08	4.43E-06
eye morphogenesis (GO:0048592)	152	39	13.65	+	2.86	9.79E-08	4.58E-06
DNA metabolic process (GO:0006259)	777	29	69.76	-	.42	9.97E-08	4.65E-06
cellular response to growth factor stimulus (GO:0071363)	497	86	44.62	+	1.93	1.05E-07	4.87E-06
regulation of insulin secretion (GO:0050796)	189	45	16.97	+	2.65	1.05E-07	4.88E-06
mesoderm development (GO:0007498)	121	34	10.86	+	3.13	1.06E-07	4.88E-06
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	36	12.03	+	2.99	1.16E-07	5.34E-06
mammary gland development (GO:0030879)	128	35	11.49	+	3.05	1.21E-07	5.55E-06
regulation of programmed cell death (GO:0043067)	1532	204	137.54	+	1.48	1.24E-07	5.69E-06
embryonic pattern specification (GO:0009880)	70	25	6.28	+	3.98	1.28E-07	5.87E-06
response to external stimulus (GO:0009605)	2525	308	226.69	+	1.36	1.34E-07	6.10E-06
DNA repair (GO:0006281)	531	15	47.67	-	.31	1.40E-07	6.35E-06
intracellular transport (GO:0046907)	1464	75	131.44	-	.57	1.46E-07	6.61E-06
neuromuscular process (GO:0050905)	136	36	12.21	+	2.95	1.58E-07	7.12E-06
regulation of cation channel activity (GO:2001257)	186	44	16.70	+	2.63	1.63E-07	7.34E-06
forebrain neuron differentiation (GO:0021879)	51	21	4.58	+	4.59	1.94E-07	8.72E-06
immune response (GO:0006955)	2075	120	186.29	-	.64	1.97E-07	8.81E-06
regulation of growth (GO:0040008)	661	105	59.34	+	1.77	2.10E-07	9.36E-06
response to organonitrogen compound (GO:0010243)	1014	146	91.04	+	1.60	2.17E-07	9.68E-06
response to drug (GO:0042493)	394	72	35.37	+	2.04	2.19E-07	9.72E-06
branching morphogenesis of an epithelial tube (GO:0048754)	132	35	11.85	+	2.95	2.25E-07	9.98E-06
regulation of anatomical structure size (GO:0090066)	514	87	46.15	+	1.89	2.36E-07	1.04E-05
kidney epithelium development (GO:0072073)	126	34	11.31	+	3.01	2.36E-07	1.04E-05
positive regulation of kinase activity (GO:0033674)	614	99	55.12	+	1.80	2.43E-07	1.07E-05
cell population proliferation (GO:0008283)	485	83	43.54	+	1.91	2.63E-07	1.15E-05
response to nitrogen compound (GO:1901698)	1101	155	98.85	+	1.57	2.67E-07	1.17E-05
regulation of apoptotic process (GO:0042981)	1493	198	134.04	+	1.48	2.98E-07	1.30E-05
cellular response to retinoic acid (GO:0071300)	69	24	6.19	+	3.87	3.38E-07	1.47E-05
nephron epithelium development (GO:0072009)	98	29	8.80	+	3.30	3.66E-07	1.58E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	298	220.23	+	1.35	3.71E-07	1.60E-05
renal tubule development (GO:0061326)	81	26	7.27	+	3.58	4.02E-07	1.73E-05
roof of mouth development (GO:0060021)	87	27	7.81	+	3.46	4.21E-07	1.81E-05
positive regulation of developmental growth (GO:0048639)	169	40	15.17	+	2.64	4.26E-07	1.82E-05
regulation of synapse assembly (GO:0051963)	99	29	8.89	+	3.26	4.36E-07	1.86E-05
synapse assembly (GO:0007416)	99	29	8.89	+	3.26	4.36E-07	1.86E-05
enzyme linked receptor protein signaling pathway (GO:0007167)	723	111	64.91	+	1.71	4.57E-07	1.94E-05
dorsal/ventral pattern formation (GO:0009953)	76	25	6.82	+	3.66	4.59E-07	1.94E-05
regulation of potassium ion transmembrane transport (GO:1901379)	106	30	9.52	+	3.15	5.12E-07	2.16E-05
endocrine pancreas development (GO:0031018)	40	18	3.59	+	5.01	5.16E-07	2.18E-05
ribosome biogenesis (GO:0042254)	329	6	29.54	-	.20	6.08E-07	2.55E-05
muscle cell differentiation (GO:0042692)	247	51	22.18	+	2.30	6.10E-07	2.56E-05
embryonic skeletal system morphogenesis (GO:0048704)	95	28	8.53	+	3.28	6.18E-07	2.58E-05
negative regulation of cell population proliferation (GO:0008285)	703	108	63.11	+	1.71	6.34E-07	2.65E-05
regulation of potassium ion transport (GO:0043266)	120	32	10.77	+	2.97	6.59E-07	2.74E-05
regulation of protein secretion (GO:0050708)	283	56	25.41	+	2.20	6.64E-07	2.75E-05
RNA splicing, via transesterification reactions (GO:0000375)	306	5	27.47	-	.18	6.65E-07	2.75E-05
adult behavior (GO:0030534)	133	34	11.94	+	2.85	6.80E-07	2.81E-05
regulation of cytosolic calcium ion concentration (GO:0051480)	321	61	28.82	+	2.12	6.94E-07	2.86E-05
muscle tissue morphogenesis (GO:0060415)	67	23	6.02	+	3.82	7.13E-07	2.93E-05
regulation of ion transmembrane transporter activity (GO:0032412)	272	54	24.42	+	2.21	7.29E-07	2.98E-05
translation (GO:0006412)	387	9	34.74	-	.26	7.40E-07	3.02E-05
negative regulation of cellular metabolic process (GO:0031324)	2613	312	234.59	+	1.33	7.42E-07	3.02E-05
divalent inorganic cation homeostasis (GO:0072507)	481	81	43.18	+	1.88	7.54E-07	3.06E-05
diencephalon development (GO:0021536)	79	25	7.09	+	3.52	8.29E-07	3.36E-05
regulation of blood pressure (GO:0008217)	188	42	16.88	+	2.49	8.47E-07	3.42E-05
nervous system process (GO:0050877)	1416	187	127.13	+	1.47	8.63E-07	3.48E-05
cellular calcium ion homeostasis (GO:0006874)	425	74	38.16	+	1.94	8.73E-07	3.51E-05
pallium development (GO:0021543)	173	40	15.53	+	2.58	8.93E-07	3.58E-05
positive regulation of protein kinase activity (GO:0045860)	539	88	48.39	+	1.82	9.13E-07	3.66E-05
ossification (GO:0001503)	267	53	23.97	+	2.21	9.59E-07	3.83E-05
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	5	27.20	-	.18	9.78E-07	3.87E-05
cellular divalent inorganic cation homeostasis (GO:0072503)	460	78	41.30	+	1.89	9.82E-07	3.88E-05
mRNA splicing, via spliceosome (GO:0000398)	303	5	27.20	-	.18	9.78E-07	3.88E-05
positive regulation of MAPK cascade (GO:0043410)	525	86	47.13	+	1.82	9.77E-07	3.89E-05
protein-containing complex assembly (GO:0065003)	1358	71	121.92	-	.58	1.00E-06	3.94E-05
cardiac ventricle development (GO:0003231)	123	32	11.04	+	2.90	1.04E-06	4.08E-05
mesoderm morphogenesis (GO:0048332)	69	23	6.19	+	3.71	1.08E-06	4.25E-05
sensory perception of sound (GO:0007605)	156	37	14.01	+	2.64	1.11E-06	4.34E-05
cell motility (GO:0048870)	1109	153	99.56	+	1.54	1.11E-06	4.34E-05
localization of cell (GO:0051674)	1109	153	99.56	+	1.54	1.11E-06	4.35E-05
regulation of transmembrane transporter activity (GO:0022898)	283	55	25.41	+	2.16	1.12E-06	4.36E-05
calcium ion homeostasis (GO:0055074)	438	75	39.32	+	1.91	1.24E-06	4.81E-05
mammary gland epithelium development (GO:0061180)	59	21	5.30	+	3.96	1.34E-06	5.16E-05
regulation of transporter activity (GO:0032409)	300	57	26.93	+	2.12	1.35E-06	5.22E-05
muscle contraction (GO:0006936)	241	49	21.64	+	2.26	1.39E-06	5.35E-05
cellular protein catabolic process (GO:0044257)	644	24	57.82	-	.42	1.40E-06	5.38E-05
response to mechanical stimulus (GO:0009612)	220	46	19.75	+	2.33	1.47E-06	5.62E-05
memory (GO:0007613)	119	31	10.68	+	2.90	1.49E-06	5.67E-05
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	22	54.68	-	.40	1.49E-06	5.69E-05
ventral spinal cord development (GO:0021517)	44	18	3.95	+	4.56	1.54E-06	5.86E-05
nephron tubule development (GO:0072080)	77	24	6.91	+	3.47	1.71E-06	6.46E-05
cellular response to oxygen-containing compound (GO:1901701)	1075	148	96.51	+	1.53	1.75E-06	6.61E-05
epithelial cell differentiation (GO:0030855)	686	104	61.59	+	1.69	1.79E-06	6.74E-05
learning (GO:0007612)	146	35	13.11	+	2.67	1.82E-06	6.86E-05
epithelial cell development (GO:0002064)	202	43	18.14	+	2.37	1.94E-06	7.29E-05
columnar/cuboidal epithelial cell differentiation (GO:0002065)	78	24	7.00	+	3.43	2.06E-06	7.71E-05
positive regulation of cell projection organization (GO:0031346)	353	63	31.69	+	1.99	2.24E-06	8.35E-05
mesoderm formation (GO:0001707)	67	22	6.02	+	3.66	2.26E-06	8.42E-05
activation of protein kinase activity (GO:0032147)	328	60	29.45	+	2.04	2.29E-06	8.51E-05
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	51	23.52	+	2.17	2.34E-06	8.68E-05
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	50	22.71	+	2.20	2.38E-06	8.81E-05
regulation of signaling receptor activity (GO:0010469)	188	41	16.88	+	2.43	2.41E-06	8.91E-05
somite development (GO:0061053)	79	24	7.09	+	3.38	2.48E-06	9.12E-05
cell cycle (GO:0007049)	1316	70	118.15	-	.59	2.56E-06	9.38E-05
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	21	5.57	+	3.77	2.55E-06	9.38E-05
ion homeostasis (GO:0050801)	773	113	69.40	+	1.63	2.64E-06	9.66E-05
regulation of kinase activity (GO:0043549)	914	129	82.06	+	1.57	2.70E-06	9.87E-05
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	42	17.78	+	2.36	2.76E-06	1.00E-04
neural retina development (GO:0003407)	68	22	6.10	+	3.60	2.76E-06	1.01E-04
rRNA processing (GO:0006364)	262	4	23.52	-	.17	2.88E-06	1.04E-04
regulation of amine transport (GO:0051952)	92	26	8.26	+	3.15	2.94E-06	1.06E-04
positive regulation of protein modification process (GO:0031401)	1079	147	96.87	+	1.52	3.09E-06	1.11E-04
cellular respiration (GO:0045333)	187	1	16.79	-	.06	3.12E-06	1.12E-04
sex differentiation (GO:0007548)	272	52	24.42	+	2.13	3.27E-06	1.17E-04
placenta development (GO:0001890)	144	34	12.93	+	2.63	3.30E-06	1.18E-04
positive regulation of potassium ion transport (GO:0043268)	69	22	6.19	+	3.55	3.36E-06	1.20E-04
muscle system process (GO:0003012)	288	54	25.86	+	2.09	3.66E-06	1.30E-04
intracellular protein transport (GO:0006886)	781	34	70.12	-	.48	3.66E-06	1.31E-04
signal release (GO:0023061)	157	36	14.10	+	2.55	3.92E-06	1.39E-04
regulation of molecular function (GO:0065009)	3118	357	279.93	+	1.28	4.13E-06	1.46E-04
regulation of protein modification process (GO:0031399)	1654	208	148.49	+	1.40	4.43E-06	1.57E-04
dorsal spinal cord development (GO:0021516)	20	12	1.80	+	6.68	4.47E-06	1.58E-04
positive regulation of intracellular signal transduction (GO:1902533)	1040	142	93.37	+	1.52	4.54E-06	1.60E-04
peptide biosynthetic process (GO:0043043)	414	12	37.17	-	.32	4.65E-06	1.63E-04
organic substance catabolic process (GO:1901575)	1769	104	158.82	-	.65	4.70E-06	1.65E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	53	25.41	+	2.09	4.85E-06	1.70E-04
regulation of cell adhesion (GO:0030155)	731	107	65.63	+	1.63	4.88E-06	1.70E-04
cell-cell adhesion (GO:0098609)	515	82	46.24	+	1.77	4.95E-06	1.72E-04
kidney morphogenesis (GO:0060993)	83	24	7.45	+	3.22	5.04E-06	1.75E-04
protein catabolic process (GO:0030163)	697	29	62.58	-	.46	5.21E-06	1.81E-04
appendage morphogenesis (GO:0035107)	141	33	12.66	+	2.61	5.33E-06	1.84E-04
limb morphogenesis (GO:0035108)	141	33	12.66	+	2.61	5.33E-06	1.85E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2880	332	258.56	+	1.28	5.44E-06	1.87E-04
renal tubule morphogenesis (GO:0061333)	66	21	5.93	+	3.54	5.72E-06	1.97E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	70	37.71	+	1.86	5.88E-06	2.01E-04
mesenchymal cell differentiation (GO:0048762)	162	36	14.54	+	2.48	5.96E-06	2.04E-04
establishment of protein localization to organelle (GO:0072594)	394	11	35.37	-	.31	6.09E-06	2.08E-04
positive regulation of synaptic transmission (GO:0050806)	135	32	12.12	+	2.64	6.11E-06	2.08E-04
glial cell differentiation (GO:0010001)	173	38	15.53	+	2.45	6.13E-06	2.08E-04
cardiac conduction (GO:0061337)	85	24	7.63	+	3.14	7.07E-06	2.38E-04
positive regulation of transferase activity (GO:0051347)	693	102	62.22	+	1.64	7.04E-06	2.39E-04
proteoglycan metabolic process (GO:0006029)	85	24	7.63	+	3.14	7.07E-06	2.39E-04
mesonephros development (GO:0001823)	85	24	7.63	+	3.14	7.07E-06	2.39E-04
peripheral nervous system development (GO:0007422)	79	23	7.09	+	3.24	7.17E-06	2.41E-04
protein modification by small protein conjugation or removal (GO:0070647)	1035	52	92.92	-	.56	7.26E-06	2.44E-04
cellular response to lipid (GO:0071396)	481	77	43.18	+	1.78	7.42E-06	2.48E-04
stem cell differentiation (GO:0048863)	157	35	14.10	+	2.48	7.80E-06	2.61E-04
somitogenesis (GO:0001756)	62	20	5.57	+	3.59	8.01E-06	2.67E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	82	46.86	+	1.75	8.06E-06	2.68E-04
macromolecule modification (GO:0043412)	3211	218	288.28	-	.76	8.23E-06	2.73E-04
response to hormone (GO:0009725)	819	116	73.53	+	1.58	8.28E-06	2.75E-04
negative regulation of metabolic process (GO:0009892)	3095	352	277.87	+	1.27	8.56E-06	2.83E-04
response to wounding (GO:0009611)	543	84	48.75	+	1.72	8.66E-06	2.86E-04
chemical homeostasis (GO:0048878)	1139	151	102.26	+	1.48	8.69E-06	2.86E-04
production of molecular mediator of immune response (GO:0002440)	141	0	12.66	-	 < 0.01	8.76E-06	2.88E-04
RNA 3'-end processing (GO:0031123)	142	0	12.75	-	 < 0.01	8.89E-06	2.92E-04
regulation of cellular response to growth factor stimulus (GO:0090287)	299	54	26.84	+	2.01	8.92E-06	2.92E-04
regulation of postsynaptic membrane potential (GO:0060078)	99	26	8.89	+	2.93	8.97E-06	2.93E-04
metal ion homeostasis (GO:0055065)	626	94	56.20	+	1.67	9.00E-06	2.93E-04
organonitrogen compound metabolic process (GO:1901564)	5246	386	470.98	-	.82	9.55E-06	3.11E-04
viral gene expression (GO:0019080)	172	1	15.44	-	.06	9.87E-06	3.20E-04
regulation of cell junction assembly (GO:1901888)	202	41	18.14	+	2.26	9.85E-06	3.20E-04
regulation of neuron death (GO:1901214)	316	56	28.37	+	1.97	9.89E-06	3.20E-04
hippocampus development (GO:0021766)	81	23	7.27	+	3.16	1.01E-05	3.25E-04
oligodendrocyte differentiation (GO:0048709)	69	21	6.19	+	3.39	1.01E-05	3.25E-04
positive regulation of epithelial cell proliferation (GO:0050679)	194	40	17.42	+	2.30	1.07E-05	3.45E-04
cardiocyte differentiation (GO:0035051)	107	27	9.61	+	2.81	1.13E-05	3.61E-04
axis specification (GO:0009798)	88	24	7.90	+	3.04	1.15E-05	3.69E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	2	17.51	-	.11	1.19E-05	3.80E-04
regulation of epithelial cell proliferation (GO:0050678)	340	59	30.52	+	1.93	1.23E-05	3.92E-04
embryonic appendage morphogenesis (GO:0035113)	119	29	10.68	+	2.71	1.24E-05	3.95E-04
embryonic limb morphogenesis (GO:0030326)	119	29	10.68	+	2.71	1.24E-05	3.96E-04
establishment of protein localization (GO:0045184)	1397	79	125.42	-	.63	1.25E-05	3.96E-04
appendage development (GO:0048736)	175	37	15.71	+	2.35	1.26E-05	3.97E-04
protein transport (GO:0015031)	1300	72	116.71	-	.62	1.26E-05	3.97E-04
limb development (GO:0060173)	175	37	15.71	+	2.35	1.26E-05	3.97E-04
negative regulation of neuron apoptotic process (GO:0043524)	146	33	13.11	+	2.52	1.28E-05	4.01E-04
immunoglobulin production (GO:0002377)	138	0	12.39	-	 < 0.01	1.36E-05	4.26E-04
cardiac muscle tissue morphogenesis (GO:0055008)	59	19	5.30	+	3.59	1.37E-05	4.28E-04
heart valve development (GO:0003170)	65	20	5.84	+	3.43	1.43E-05	4.46E-04
inorganic ion homeostasis (GO:0098771)	724	104	65.00	+	1.60	1.44E-05	4.50E-04
muscle cell fate commitment (GO:0042693)	15	10	1.35	+	7.43	1.45E-05	4.51E-04
developmental maturation (GO:0021700)	235	45	21.10	+	2.13	1.45E-05	4.52E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	7	27.02	-	.26	1.50E-05	4.64E-04
regulation of Wnt signaling pathway (GO:0030111)	377	63	33.85	+	1.86	1.51E-05	4.66E-04
neuron fate specification (GO:0048665)	28	13	2.51	+	5.17	1.51E-05	4.67E-04
positive regulation of cellular component movement (GO:0051272)	558	85	50.10	+	1.70	1.52E-05	4.69E-04
regulation of neural precursor cell proliferation (GO:2000177)	90	24	8.08	+	2.97	1.58E-05	4.86E-04
osteoblast differentiation (GO:0001649)	129	30	11.58	+	2.59	1.59E-05	4.87E-04
cardiac conduction system development (GO:0003161)	38	15	3.41	+	4.40	1.59E-05	4.89E-04
regulation of smooth muscle contraction (GO:0006940)	60	19	5.39	+	3.53	1.66E-05	5.08E-04
positive regulation of response to stimulus (GO:0048584)	2312	271	207.57	+	1.31	1.68E-05	5.13E-04
modification-dependent macromolecule catabolic process (GO:0043632)	563	22	50.55	-	.44	1.72E-05	5.21E-04
nephron morphogenesis (GO:0072028)	66	20	5.93	+	3.38	1.72E-05	5.22E-04
cardiac septum morphogenesis (GO:0060411)	66	20	5.93	+	3.38	1.72E-05	5.23E-04
positive regulation of cell motility (GO:2000147)	545	83	48.93	+	1.70	1.73E-05	5.23E-04
smooth muscle contraction (GO:0006939)	49	17	4.40	+	3.86	1.75E-05	5.29E-04
mRNA catabolic process (GO:0006402)	215	3	19.30	-	.16	1.79E-05	5.41E-04
regulation of cellular component organization (GO:0051128)	2390	279	214.57	+	1.30	1.85E-05	5.56E-04
regulation of vesicle-mediated transport (GO:0060627)	530	81	47.58	+	1.70	1.89E-05	5.67E-04
endocardial cushion development (GO:0003197)	44	16	3.95	+	4.05	1.92E-05	5.74E-04
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	44	16	3.95	+	4.05	1.92E-05	5.75E-04
retina morphogenesis in camera-type eye (GO:0060042)	61	19	5.48	+	3.47	2.01E-05	6.02E-04
spinal cord association neuron differentiation (GO:0021527)	12	9	1.08	+	8.35	2.02E-05	6.02E-04
cardiac atrium morphogenesis (GO:0003209)	29	13	2.60	+	4.99	2.02E-05	6.03E-04
regulation of protein kinase activity (GO:0045859)	802	112	72.00	+	1.56	2.07E-05	6.15E-04
protein-DNA complex subunit organization (GO:0071824)	296	7	26.57	-	.26	2.08E-05	6.16E-04
reproduction (GO:0000003)	1462	183	131.26	+	1.39	2.15E-05	6.37E-04
RNA splicing (GO:0008380)	409	13	36.72	-	.35	2.18E-05	6.44E-04
negative regulation of neuron death (GO:1901215)	209	41	18.76	+	2.19	2.21E-05	6.51E-04
positive regulation of molecular function (GO:0044093)	1618	199	145.26	+	1.37	2.28E-05	6.72E-04
positive regulation of secretion (GO:0051047)	317	55	28.46	+	1.93	2.29E-05	6.73E-04
regulation of heart rate (GO:0002027)	99	25	8.89	+	2.81	2.32E-05	6.81E-04
regulation of catecholamine secretion (GO:0050433)	56	18	5.03	+	3.58	2.33E-05	6.83E-04
embryonic heart tube development (GO:0035050)	80	22	7.18	+	3.06	2.37E-05	6.88E-04
regulation of neurotransmitter receptor activity (GO:0099601)	80	22	7.18	+	3.06	2.37E-05	6.89E-04
gliogenesis (GO:0042063)	223	43	20.02	+	2.15	2.36E-05	6.90E-04
ureteric bud development (GO:0001657)	80	22	7.18	+	3.06	2.37E-05	6.90E-04
nephron tubule morphogenesis (GO:0072078)	62	19	5.57	+	3.41	2.43E-05	7.05E-04
cell junction assembly (GO:0034329)	276	50	24.78	+	2.02	2.44E-05	7.05E-04
in utero embryonic development (GO:0001701)	366	61	32.86	+	1.86	2.44E-05	7.06E-04
cellular component biogenesis (GO:0044085)	2754	185	247.25	-	.75	2.49E-05	7.19E-04
protein localization to organelle (GO:0033365)	742	34	66.62	-	.51	2.56E-05	7.36E-04
membrane organization (GO:0061024)	972	50	87.27	-	.57	2.60E-05	7.48E-04
reproductive process (GO:0022414)	1459	182	130.99	+	1.39	2.61E-05	7.50E-04
sodium ion transmembrane transport (GO:0035725)	119	28	10.68	+	2.62	2.65E-05	7.59E-04
positive regulation of smooth muscle contraction (GO:0045987)	30	13	2.69	+	4.83	2.68E-05	7.67E-04
mesonephric epithelium development (GO:0072163)	81	22	7.27	+	3.03	2.78E-05	7.88E-04
mesonephric tubule development (GO:0072164)	81	22	7.27	+	3.03	2.78E-05	7.90E-04
regulation of body fluid levels (GO:0050878)	494	76	44.35	+	1.71	2.77E-05	7.91E-04
embryonic placenta development (GO:0001892)	81	22	7.27	+	3.03	2.78E-05	7.91E-04
calcium ion transmembrane transport (GO:0070588)	190	38	17.06	+	2.23	2.79E-05	7.91E-04
cation homeostasis (GO:0055080)	710	101	63.74	+	1.58	2.86E-05	8.08E-04
sensory perception of pain (GO:0019233)	75	21	6.73	+	3.12	2.88E-05	8.12E-04
modification-dependent protein catabolic process (GO:0019941)	552	22	49.56	-	.44	2.89E-05	8.14E-04
cell cycle process (GO:0022402)	957	49	85.92	-	.57	2.89E-05	8.15E-04
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	20	6.19	+	3.23	2.93E-05	8.22E-04
odontogenesis (GO:0042476)	120	28	10.77	+	2.60	2.95E-05	8.26E-04
positive regulation of locomotion (GO:0040017)	560	84	50.28	+	1.67	2.99E-05	8.38E-04
cellular metal ion homeostasis (GO:0006875)	561	84	50.37	+	1.67	3.04E-05	8.47E-04
regulation of angiogenesis (GO:0045765)	282	50	25.32	+	1.97	3.04E-05	8.48E-04
ureter development (GO:0072189)	17	10	1.53	+	6.55	3.21E-05	8.91E-04
regulation of epithelial cell migration (GO:0010632)	229	43	20.56	+	2.09	3.20E-05	8.92E-04
regulation of endothelial cell migration (GO:0010594)	170	35	15.26	+	2.29	3.25E-05	9.02E-04
cochlea development (GO:0090102)	52	17	4.67	+	3.64	3.27E-05	9.05E-04
aerobic respiration (GO:0009060)	160	1	14.36	-	.07	3.34E-05	9.23E-04
cardiac ventricle morphogenesis (GO:0003208)	70	20	6.28	+	3.18	3.48E-05	9.56E-04
cardiac atrium development (GO:0003230)	36	14	3.23	+	4.33	3.47E-05	9.56E-04
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	14	3.23	+	4.33	3.47E-05	9.58E-04
nephron epithelium morphogenesis (GO:0072088)	64	19	5.75	+	3.31	3.50E-05	9.60E-04
chromosome organization (GO:0051276)	1064	57	95.52	-	.60	3.53E-05	9.67E-04
